word_id,frequency_daily,frequency_IT,frequency_technical_engineering,frequency_ranking_position
1,6,7,5,489
2,8,9,10,12379
3,7,8,10,135
4,5,6,4,1262
5,4,3,2,6181
6,3,2,6,15516
7,6,7,8,2506
8,4,6,9,1757
9,2,1,3,20706
10,7,8,9,1163
11,7,6,8,17756
12,6,7,9,119
13,5,4,7,4384
14,3,2,5,19522
15,4,3,6,1595
16,2,1,4,11997
17,5,6,7,8617
18,6,7,9,8317
19,4,5,8,6783
20,6,7,8,5016
21,4,3,2,3566
22,6,7,8,3146
23,4,5,6,7514
24,5,4,7,2229
25,2,1,3,8443
26,3,4,5,19761
27,7,8,9,2372
28,2,3,6,10718
29,2,1,3,18071
30,8,9,10,761
31,3,4,5,6125
32,4,5,6,4704
33,5,6,7,2279
34,6,7,8,1724
35,3,4,7,11123
36,4,5,6,1052
37,5,6,7,4278
38,4,5,7,17067
39,7,8,9,1385
40,6,7,8,5605
41,6,7,8,480
42,4,5,7,3343
43,2,3,6,10086
44,6,7,8,1023
45,4,5,7,3148
46,5,6,8,1667
47,6,7,8,1392
48,7,8,9,4751
49,3,4,5,16977
50,6,7,8,1835
51,7,8,9,1075
52,6,7,8,1716
53,5,6,7,2617
54,5,6,7,3059
55,4,5,6,3451
56,4,5,6,4007
57,3,4,6,1743
58,6,7,8,1753
59,4,5,6,10747
60,5,6,8,2894
61,2,3,6,18926
62,5,6,7,4237
63,6,7,8,1724
64,8,9,9,220
65,1,2,4,17201
66,4,5,7,7762
67,2,3,5,9302
68,6,7,8,2433
69,6,7,8,5069
70,7,8,8,626
71,4,5,6,2311
72,7,8,8,205
73,5,6,7,1461
74,4,5,7,1428
75,6,7,8,2473
76,3,4,6,2641
77,6,7,8,972
78,5,6,7,3761
79,5,6,7,3387
80,4,5,7,1061
81,6,7,8,1081
82,2,3,5,3656
83,6,7,8,1311
84,6,7,8,1792
85,3,4,6,4861
86,7,8,8,744
87,3,4,6,2891
88,4,5,7,3889
89,6,7,8,1553
90,5,6,8,2068
91,4,5,6,3158
92,3,4,7,6189
93,7,8,8,1892
94,2,3,5,14060
95,6,7,8,372
96,6,7,8,972
97,3,4,6,8239
98,5,6,7,3464
99,4,5,7,4346
100,8,5,5,3826
101,4,5,7,4509
102,6,7,8,659
103,5,6,8,1107
104,4,5,7,3017
105,5,6,8,1039
106,4,5,7,3725
107,5,6,8,1875
108,2,3,6,1506
109,6,7,8,1044
110,5,6,8,4652
111,4,5,6,889
112,6,7,8,1193
113,4,5,7,1891
114,3,4,8,3060
115,6,7,8,1354
116,5,6,8,572
117,3,4,6,4176
118,4,5,6,2179
119,4,5,6,3045
120,5,6,8,1265
121,4,5,6,2139
122,6,7,8,1147
123,4,5,7,3111
124,7,8,8,593
125,5,6,8,1537
126,5,6,8,424
127,6,7,9,1469
128,6,7,8,891
129,3,4,7,4219
130,7,8,8,1056
131,6,7,8,797
