word_id,tag_1,tag_2,tag_3
1,small,size,amount
2,skin,protection,summer
3,science,research,knowledge
4,time,duration,summary
5,boring,activity,people
6,driving,movement,direction
7,ownership,control,property
8,edit,change,document
9,children,care,charity
10,start,beginning,action
11,pedestrian,crossing,safety
12,create,start,set up
13,shorten,words,language
14,clothing,sweater,winter
15,extra,surplus,quantity
16,seafood,shellfish,cooking
17,clean,washing,water
18,health,weight,medical
19,shape,sharp,object
20,reasonable,practical,wise
21,lazy,inactive,unemployed
22,job,profession,work
23,exclude,leave out,skip
24,sewing,textile,material
25,reprimand,criticize,blame
26,distribute,give out,information
27,salary,payment,income
28,truck,transportation,heavy
29,bedding,blanket,sleep
30,importance,meaning,value
31,moisture,damp,climate
32,include,attach,contain
33,crease,bend,flatten
34,strange,unusual,different
35,travel,ship,vacation
36,repair,set,constant
37,car,storage,travel
38,training,fitness,air
39,excellent,remarkable,exceptional
40,weather,dryness,agriculture
41,therefore,consequently,so
42,pass,exceed,surpass
43,music,instrument,orchestra
44,finally,ultimately,in the end
45,word,language,grammar
46,completely,entirely,in total
47,somewhat,relatively,reasonably
48,informal,relaxed,easygoing
49,tan,skin,summer
50,tradition,culture,habit
51,eager,ready,enthusiastic
52,fear,worry,stress
53,tea,boiling,hot water
54,sales,assistant,retail
55,empty,available,unoccupied
56,intersection,road,traffic
57,dirt,earth,ground
58,approximately,estimate,around
59,garbage,waste,rubbish
60,grammar,writing,language
61,rowing,boat,paddle
62,severe,rough,tough
63,result,outcome,effect
64,important,major,relevant
65,wedding,groom,marriage
66,grammar,words,language
67,food,eating,utensils
68,presence,participation,school
69,highlight,stress,accentuate
70,few,some,multiple
71,many,quantity,lots
72,supply,furnish,give
73,design,shape,model
74,throw,mold,shape
75,ease,convenience,relaxation
76,work,job,employment
77,motivate,inspire,support
78,cover,envelope,package
79,slow,steady,progressive
80,leader,boss,manager
81,diversity,assortment,range
82,commitment,proposal,wedding
83,search,look for,find
84,able,competent,skilled
85,hole,piercing,injury
86,earnings,salary,revenue
87,container,metal,can
88,scenery,landmarks,attractions
89,happen,take place,appear
90,transform,change,modify
91,prohibit,ban,restrict
92,garden,plants,climate
93,enjoyable,nice,likable
94,wonderful,fantastic,amazing
95,significance,relevance,value
96,administration,leadership,organization
97,sidewalk,walkway,pedestrian
98,benevolence,generosity,compassion
99,chart,graph,illustration
100,plant,unwanted,garden
101,landscape,view,nature
102,act,present,execute
103,resolve,establish,decide
104,fortunately,happily,providentially
105,foreign,abroad,international
106,accent,intonation,articulation
107,ease,comfort,facility
108,herder,pastor,guardian
109,airplane,aviation,jet
110,economic slump,downturn,depression
111,separation,partition,segmentation
112,severe,rigid,stern
113,respect,dignity,esteem
114,graduate,advanced,higher degree
115,merge,unite,blend
116,extra time,additional,extended
117,escape,vacation,holiday
118,takeout,fast food,delivery
119,sadden,discourage,deject
120,progress,improvement,development
121,traditional,usual,habitual
122,global,international,universal
123,timber,wood,record
124,present,existing,ongoing
125,committed,involved,occupied
126,individual,personal,identity
127,transit,movement,shipping
128,average,signify,represent
129,pugilism,fighting,sport
130,development,progress,expansion
131,announce,state,proclaim
132,journey,trip,sailing
133,exhausting,fatiguing,draining
134,size,magnitude,measurement
135,post,column,pillar
136,culture,creativity,fine arts
137,crowded,full,busy
138,iteration,reiteration,duplication
139,command,instruction,transcription
140,deal,discount,sale
141,tape,recording,audio
142,drip,bead,globule
143,cause,provoke,stimulate
144,willing,optional,unpaid
145,butterfly,insect,pest
146,revenge,retaliate,vindicate
147,peak,top,apex
148,if,whether or not,regardless
149,involve,participate,commit
150,turn to,rely on,use
151,by all means,at all costs,no matter what
152,realize,manifest,implement
153,removal,elimination,discard
154,disturb,obstruct,hinder
155,youngster,kid,child
156,restrain,inhibit,suppress
157,should,must,supposed to
158,lenient,permissive,tolerant
159,impoliteness,rudeness,disrespect
160,permissive,tolerant,forgiving
161,thoughtfulness,deliberation,contemplation
162,instead,quite,fairly
163,only,just,solely
164,sketched,depicted,illustrated
165,animosity,hostility,aversion
166,chair,conduct,lead
167,forerunner,ancestor,antecedent
168,overstating,inflating,magnifying
169,arranged,orchestrated,created
170,use,employ,exploit
171,summon,assemble,call together
172,magnificent,excellent,superb
173,control,restrict,limit
174,only,exclusively,just
175,argument,dispute,quarrel
176,vary,diverge,contrast
177,lie,untruth,deception
178,presume,suppose,take for granted
179,drenched,saturated,wet
180,wise man,philosopher,thinker
181,in the direction of,facing,heading towards
182,furious,angry,incensed
183,go down,lower,descend
184,offspring,heir,progeny
185,fated,predetermined,destined
186,evidence,verification,confirmation
187,highest,ultimate,paramount
188,nickname,alias,cognomen
189,prejudiced,partial,unfair
190,wrapped,covered,enshrouded
191,include,integrate,assimilate
192,prohibited,banned,forbidden
193,abandon,leave,desert
194,recovery,retrieval,regain
195,location,site,place
196,explore,scout,investigate
197,exceed,outdo,outstrip
198,attractive,charming,captivating
199,resentment,animosity,bitterness
200,should,ought,must
201,respect,worship,admiration
202,only,small,insignificant
203,however,nevertheless,still
204,consistent,lasting,continuous
205,disease,outcast,ostracized
206,growth,cancer,medical
207,refuse,decline,deny
208,frequently,regularly,repeatedly
209,rebellion,uprising,protest
210,entice,allure,tempt
211,unclear,vague,uncertain
212,hug,hold,accept
213,remove,eliminate,get rid of
214,attack,violence,aggression
215,flower,plant,nature
216,fearful,anxious,uneasy
217,hat,headwear,clothing
218,sadness,mourning,sorrow
219,chorus,repeat,verse
220,not drunk,serious,clear-headed
221,agreement,permission,approval
222,curve,turn,twist
223,beyond,further,more
224,include,entail,concern
225,pull,haul,tow
226,accusation,trial,legal
227,evidence,statement,witness
228,meeting,confrontation,clash
229,cuddle,hug,nestle
230,empathy,sympathy,kindness
231,aim,head,lead
232,specify,determine,describe
233,diversity,variety,multiple
234,make poor,impoverishment,drain
235,amidst,between,surrounded by
236,means,resources,funds
237,attract,lure,tempt
238,indentation,damage,mark
239,flower,blossom,growth
240,variety,differences,heterogeneity
241,mass murder,extermination,holocaust
242,slaughter,massacre,bloodshed
243,killing,butchery,annihilation
244,brutality,savagery,violence
245,start,begin,depart
246,upcoming,approaching,impending
247,on,over,atop
248,predictive,divinatory,visionary
249,outside,further than,transcending
250,forecast,anticipate,foresee
251,killing,violence,massacre
252,surrounded,included,covered
253,disturb,interfere,interrupt
254,achieve,complete,finish
255,dedication,involvement,obligation
256,offense,affront,disrespect
257,contemptible,vile,abhorrent
258,fight,effort,challenge
259,corridor,passage,walkway
260,irritating,scratchy,uncomfortable
261,separate,split,partition
262,lost,wander,deviate
263,border,limit,edge
264,rot,deterioration,decomposition
265,hot coal,cinder,ashes
266,glance,peek,sight
267,internal,inside,innermost
268,somnambulism,sleep disorder,walking sleep
269,unfold,spread out,unroll
270,height,elevation,mountain
271,servant,follower,subordinate
272,boat,vessel,ship
273,mooring,tie-up,stabilizer
274,obtained,gained,purchased
275,deserted,abandoned,barren
276,banishment,expulsion,deportation
277,bet,wager,investment
278,graph,diagram,map
279,limit,jump,restrict
280,pests,insects,rodents
281,boy,young man,youth
282,hang,suspend,dangle
283,chaotic,crazy,jumbled
284,emerge,appear,develop
285,overstate,overemphasize,amplify
286,foolish,silly,senseless
287,humanity,people,society
288,sermon,teach,advocate
289,undervalue,underestimate,belittle
290,signal,gesture,invite
291,dark,somber,depressing
292,frighten,scare,bully
293,non-believer,heretic,skeptic
294,mention,allusion,citation
295,culprit,offender,culprit
296,meandering,winding,twisting
297,supposed,claimed,rumored
298,arrest,custody,confinement
299,involved,connected,incriminated
300,based on,in accordance,in line with
301,hearing-impaired,impaired,mute
302,load,weight,responsibility
303,unhappy,wretched,pathetic
304,unconscious,hidden,latent
305,intolerable,insufferable,excruciating
306,drowsiness,tiredness,boredom
307,infectious,communicable,transmissible
308,dispose,eliminate,remove
309,timetable,agenda,program
310,exaggerate,exceed,overindulge
311,hit,strike,blow
312,petition,plea,request
313,short-lived,transitory,fleeting
314,confused,disoriented,bewildered
315,abroad,foreign,international
316,disagreeable,displeasing,nasty
317,conscious,cognizant,mindful
318,naive,credulous,trusting
319,entice,seduce,lure
320,poll,questionnaire,study
321,trouble,inconvenience,disturb
322,cold,cool,frigid
323,be indebted to,be obligated to,have to pay
324,empathetic,sympathetic,caring
325,steward,valet,butler
326,infectious,contagious,epidemic
327,disclose,uncover,unveil
328,cluster,group,collection
329,election,ballot,vote
330,danger,risk,hazard
331,recover,regain,recoup
332,even though,despite,notwithstanding
333,recruit,engage,enroll
334,meager,insufficient,inadequate
335,belt,band,fastener
336,watchful,observant,alert
337,relationship,liaison,love affair
338,craving,desire,longing
339,dispersed,disorganized,random
340,sure,confident,convinced
341,respectable,appropriate,acceptable
342,regardless,notwithstanding,in spite of
343,incline,gradient,slant
344,work,job,labor
345,have to,must,need to
346,pillage,loot,ransack
347,unclear,ambiguous,uncertain
348,lash,scourge,thong
349,bring,retrieve,collect
350,humanity,mankind,people
351,related,similar,akin
352,decrease,diminish,contract
353,brutality,violence,fierceness
354,prominent,notable,exceptional
355,spite,hostility,animosity
356,darkness,melancholy,depression
357,sneak,crawl,tipt
358,gossip,hearsay,speculation
359,notice,observe,discern
360,plan,aim,purpose
361,buzzing,murmuring,droning
362,enthusiastic,keen,willing
363,smile,smirk,beam
364,demand,need,necessitate
365,rule,govern,dominate
366,property,possession,belonging
367,grow,evolve,progress
368,mock,taunt,deride
369,ridicule,mock,taunt
370,compassionately,kindly,sympathetically
371,confusion,disorder,mess
372,tense,anxious,stressed
373,excited,enthusiastic,hyper
374,demand,require,coerce
375,inconspicuous,subtle,discreet
376,covered,enclosed,wrapped
377,money,cash,funds
378,conscription,enlistment,military service
379,dental floss,interdental cleaner,stick
380,bind,secure,tether
381,ridiculous,preposterous,laughable
382,anise,candy,sweet
383,indulgence,delight,enjoyment
384,suddenly,unexpectedly,hastily
385,black carbon,ash,pollution
386,quit,abandon,give up
387,absurd,ludicrous,silly
388,wet,immerse,saturate
389,jester,prankster,comedian
390,method,technique,way
391,trouble,difficulty,annoyance
392,refined,cultured,elegant
393,famous,celebrated,well-known
394,bravery,courage,valor
395,lymph node,throat,gland
396,fumble,stumble,search blindly
397,rest against,incline against,support
398,scrub,sweep,clean
399,operator,controller,coordinator
400,onlooker,observer,spectator
401,location,division,jurisdiction
402,connection,association,communication
403,law,restriction,nighttime
404,anatomy,respiration,organ
405,politics,rights,inequality
406,slang,expression,satisfaction
407,task,mission,assignment
408,clothing,underwear,fashion
409,plant,decline,weaken
410,finance,obligation,liability
411,law,judgment,punishment
412,single-use,convenience,waste
413,regret,guilt,apology
414,desire,attraction,temptation
415,geometry,measurement,direction
416,strength,support,enhancement
417,layer,material,thickness
418,anatomy,framework,structure
419,topic,problem,subject
420,main,chief,primary
421,rejection,refusal,contradiction
422,intense,powerful,dominant
423,mistreatment,violence,exploitation
424,only,single,unique
425,entire,all,from start to end
426,cautious,alert,suspicious
427,extortion,intimidation,illegal
428,secret,hidden,undercover
429,dig,discover,uncover
430,digging,archeology,construction
431,assessment,analysis,judgement
432,responsibility,leadership,management
433,ghost,apparition,phantom
434,reveal,uncover,disclose
435,cancel,withdraw,annulment
436,religion,Christianity,spiritual
437,specific,individual,distinctive
438,relate to,interest,worry
439,additional,more,extended
440,military,scouting,reconnaissance
441,accusation,charge,claim
442,genuine,honest,authentic
443,disease,decay,destruction
444,choice,also,two
445,paper,absorbent,disposable
446,legal,lawsuit,litigation
447,similarity,likeness,comparison
448,captive,prisoner,kidnapping
449,stare,look,observation
450,watchful,alert,attentive
451,platform,stage,lectern
452,put out,smother,quench
453,encourage,persuade,prompt
454,reward,generosity,gift
455,ignite,fire up,inflame
456,climb,rise,go up
457,below,under,underneath
458,outline,shape,contour
459,change,shift,turn
460,owed,expected,payment
461,craftsman,skilled worker,tradesperson
462,comfort,ease,relaxation
463,effort,exertion,strain
464,emerge,appear,materialize
465,lively,active,vigorous
466,supply,stock,equipment
467,food,nourishment,sustenance
468,stiff,formal,crisp
469,fungus,mold,decay
470,inspect,scrutinize,analyze
471,overseas,foreign,international
472,foolish,imprudent,reckless
473,gesture,signal,indication
474,charming,picturesque,old-fashioned
475,slim,thin,tight
476,leak,overflow,pour
477,sulky,gloomy,moody
478,walk,leisurely walk,amble
479,disturb,agitate,unsettle
480,thick,compact,crowded
481,raw,unrefined,primitive
482,poke,sting,puncture
483,surrounded,enclosed,trapped
484,hindered,restricted,impeded
485,yard,garden,enclosure
486,prey,game,victim
487,appear,come out,surface
488,sparkle,glisten,twinkle
489,crouch,sit,hunker
490,tidy,organized,precise
491,scowl,grimace,pout
492,elaborate,imaginative,decorative
493,road,avenue,boulevard
494,cloudy,gloomy,dim
495,sizzle,buzz,whiz
496,sudden,unexpected,hasty
497,unexpected,abrupt,surprising
498,unexpectedly,all of a sudden,swiftly
499,gaze,scrutinize,observe
500,twinkle,shimmer,flutter
501,accommodation,rental,hospitality
502,transportation,train,storage
503,housing,home,real estate
504,humble,simple,unassuming
505,roofing,construction,building
506,tired,fatigued,exhausted
507,location,position,bottom
508,estimation,calculation,evaluation
509,daydreaming,reflection,contemplation
510,color,shade,hue
511,coloring,dyeing,staining
512,go down,decline,drop
513,look,glimpse,peek
