word_id,example_phrase_english,example_phrase_polish,example_sentence_english,explanation
1,He felt a slight breeze.,Poczuł niewielki wiaterek.,Slight changes can make a big difference.,Small in amount or degree. Can be used to describe physical or abstract things.
2,Remember to put on sunscreen.,"Pamiętaj, aby nałożyć krem z filtrem.",Sunscreen is essential for protecting your skin from harmful UV rays.,A lotion or cream that helps protect the skin from the sun's harmful rays. Used for skin protection.
3,She has a scientific mind.,Ona ma naukowy umysł.,The scientific community is working to find a cure for cancer.,"Related to science or the study of the natural world. Can be used to describe research, experiments, or theories."
4,He spoke briefly about his trip.,Mówił krótko o swojej podróży.,Can you summarize your report briefly?,"For a short period of time. Can be used to describe actions, conversations, or explanations."
5,This book is boring me.,Ta książka mnie nudzi.,He's a real bore at parties.,To make someone feel uninterested or unenthusiastic. A person who is boring.
6,The car swerved to avoid the pedestrian.,"Samochód zrobił unik, aby uniknąć pieszego.",The cyclist had to swerve to avoid hitting the pothole.,To change direction suddenly. Often used to describe vehicles.
7,She possesses a great deal of talent.,Ona posiada wiele talentów.,It is illegal to possess drugs.,To have or own something. Can be used to describe physical or non-physical possessions.
8,He made some revisions to the manuscript.,Zrobił kilka poprawek w rękopisie.,The company is undergoing a revision of its policies.,"The act of reviewing, modifying, or correcting something. Often used in education or writing."
9,She was raised in an orphanage.,Ona dorastała w sierocińcu.,The orphanage is in need of donations to continue its work.,A residential institution for the care of orphans.
10,The meeting will commence at 2 pm.,Spotkanie rozpocznie się o godzinie 14.,The construction work will commence next week.,To begin or start something. Can be used to describe events or actions.
11,Always use the crosswalk when crossing the street.,"Zawsze korzystaj z przejścia dla pieszych, gdy przechodzisz przez ulicę.",The driver stopped at the crosswalk to let the pedestrians cross.,A designated area for pedestrians to cross a road safely.
12,He hopes to establish his own business one day.,"On ma nadzieję, że pewnego dnia uda mu się założyć swoją własną firmę.",The company was established in 1995.,To set up or create something. Can be used to describe institutions or businesses.
13,"""Dr"" is an abbreviation for ""Doctor"".","""Dr"" to skrót od ""Doctor"".",Please use the proper abbreviation in your report.,A shortened form of a word or phrase. Often used in writing or speech.
14,He was wearing a blue pullover.,Miał na sobie niebieski sweter wciągany przez głowę.,She likes to knit pullovers for her family.,A sweater that is pulled over the head.
